id,category,source_en,jargon_terms,notes
J01,jargon,"We exported the model using ExecuTorch's quantization pipeline.","ExecuTorch;quantization",
J02,jargon,"The XNNPACK backend delivered a solid throughput improvement on Arm cores.","XNNPACK;Arm",
J03,jargon,"KleidiAI kernels are enabled for this build target.","KleidiAI",
J04,jargon,"Our tokenizer failed to load because of a vocab size mismatch.","tokenizer",
J05,jargon,"The runtime crashed during inference right after the warmup phase.","runtime;inference;warmup",
J06,jargon,"We froze the checkpoint before starting the cross-compilation step.","checkpoint;cross-compilation",
J07,jargon,"This framework supports both CPU and GPU backends out of the box.","framework;CPU;GPU;backend",
J08,jargon,"Latency dropped once we enabled the optimized kernels.","Latency;kernels",
J09,jargon,"The benchmark script writes every run into a single dataset file.","benchmark;dataset",
J10,jargon,"Our deployment pipeline pushes the .pte file straight to the device.","deployment;pipeline",
J11,jargon,"Edge computing changes how you think about on-device inference.","Edge computing;on-device;inference",
J12,jargon,"This small LLM still needs a proper neural network accelerator.","LLM;neural network",
J13,jargon,"The API exposes a clean SDK for third-party developers.","API;SDK",
J14,jargon,"We had to rebuild the NDK toolchain from scratch this morning.","NDK;toolchain",
J15,jargon,"Thermal throttling kicked in after just a few minutes of load.","Thermal throttling",
J16,jargon,"The scheduler keeps a warm cache between consecutive requests.","cache",
J17,jargon,"Each thread handles a different shard of the batch.","thread;batch",
J18,jargon,"We measured watts during the whole inference, not just after it.","watts;inference",
J19,jargon,"Battery saver mode changes the CPU governor's behavior.","Battery saver;CPU;governor",
J20,jargon,"A cold start takes longer than a warm cache hit.","cold start;warm cache",
J21,jargon,"Prefill and decode have very different power profiles on this chip.","Prefill;decode",
J22,jargon,"We track tokens per second as our main throughput metric.","tokens per second;throughput",
J23,jargon,"The embedding layer was the first thing we quantized.","embedding;quantized",
J24,jargon,"Fine-tuning this checkpoint would take days on a single GPU.","Fine-tuning;checkpoint;GPU",
J25,jargon,"The compiler flag disables the coreml backend entirely.","compiler;backend",
J26,jargon,"Our CI pipeline rebuilds the wheel on every commit.","CI;pipeline;wheel",
J27,jargon,"This backend partitions the graph before lowering it to XNNPACK.","backend;graph;XNNPACK",
J28,jargon,"We rely on adb to push the runner onto the physical device.","adb;runner",
J29,jargon,"The scheduler throttles background threads under memory pressure.","scheduler;threads",
J30,jargon,"Our config selector picks the quantization level at runtime.","quantization;runtime",
C01,control,"We waited outside the theater for almost an hour before the show.","",
C02,control,"My grandmother always adds a little too much salt to her soup.","",
C03,control,"The garden looked completely different after the storm passed.","",
C04,control,"He forgot his umbrella at the office and walked home in the rain.","",
C05,control,"The children spent the whole afternoon building a sandcastle.","",
C06,control,"She finally finished reading the novel she started last summer.","",
C07,control,"The bakery on the corner sells the best croissants in town.","",
C08,control,"They decided to repaint the kitchen a soft shade of blue.","",
C09,control,"Our neighbors adopted a stray cat that used to sleep on their porch.","",
C10,control,"The train was delayed, so we grabbed coffee at the station.","",
C11,control,"He spent the weekend fixing the fence around his backyard.","",
C12,control,"The market was crowded with people buying flowers for the holiday.","",
C13,control,"She planted tomatoes and basil in the small garden behind the house.","",
C14,control,"The old bridge creaks every time a car drives over it.","",
C15,control,"We watched the sunset from the hill just outside the village.","",
C16,control,"The museum extended its opening hours for the summer season.","",
C17,control,"My uncle tells the same fishing story every single Christmas.","",
C18,control,"The library was unusually quiet on that rainy Tuesday morning.","",
C19,control,"They walked along the beach collecting seashells until sunset.","",
C20,control,"The recipe calls for two cups of flour and a pinch of salt.","",
C21,control,"Our cat refuses to sleep anywhere except the laundry basket.","",
C22,control,"The festival brings musicians from all over the country every year.","",
C23,control,"He learned to bake bread during the long winter evenings.","",
C24,control,"The park was full of families having picnics under the trees.","",
C25,control,"She wrote a letter to her cousin who lives on the other coast.","",
C26,control,"The old clock in the hallway hasn't worked in over a decade.","",
C27,control,"We took the scenic route home just to enjoy the countryside.","",
C28,control,"The dog barked at every car that passed by the house.","",
C29,control,"They spent the evening playing board games by the fireplace.","",
C30,control,"The orchard smelled of ripe apples all through October.","",
